x,y,longitude,latitude,area
9479,5416,760467.399,3352704.06,17.5
9372,5415,760413.899,3352704.56,14.0
9314,5414,760384.899,3352705.06,11.0
9181,5413,760318.399,3352705.56,45.5
9466,5406,760460.899,3352709.06,14.0
8813,5407,760134.399,3352708.56,20.5
8438,5404,759946.899,3352710.06,10.5
8376,5403,759915.899,3352710.56,16.5
8426,5406,759940.899,3352709.06,89.5
8415,5400,759935.399,3352712.06,48.0
9452,5391,760453.899,3352716.56,28.0
8369,5383,759912.399,3352720.56,11.5
8412,5383,759933.899,3352720.56,19.0
9666,5379,760560.899,3352722.56,15.0
9488,5378,760471.899,3352723.06,14.0
9507,5375,760481.399,3352724.56,10.5
8777,5376,760116.399,3352724.06,11.5
8853,5375,760154.399,3352724.56,21.0
9456,5372,760455.899,3352726.06,14.5
9465,5369,760460.399,3352727.56,11.0
9190,5367,760322.899,3352728.56,26.0
9121,5366,760288.399,3352729.06,29.0
9524,5360,760489.899,3352732.06,13.0
9319,5360,760387.399,3352732.06,19.0
9138,5355,760296.899,3352734.56,17.0
9378,5349,760416.899,3352737.56,16.0
9176,5348,760315.899,3352738.06,10.5
9551,5344,760503.399,3352740.06,12.0
8930,5338,760192.899,3352743.06,14.0
9085,5336,760270.399,3352744.06,11.5
9491,5334,760473.399,3352745.06,18.5
9578,5327,760516.899,3352748.56,30.5
8847,5328,760151.399,3352748.06,22.5
9526,5321,760490.899,3352751.56,10.5
9089,5322,760272.399,3352751.06,25.0
9892,5318,760673.899,3352753.06,13.0
8820,5312,760137.899,3352756.06,16.5
9211,5310,760333.399,3352757.06,10.5
9236,5298,760345.899,3352763.06,24.5
8890,5297,760172.899,3352763.56,11.0
9405,5295,760430.399,3352764.56,18.0
9609,5281,760532.399,3352771.56,11.0
8377,5280,759916.399,3352772.06,48.0
8691,5275,760073.399,3352774.56,12.5
8256,5273,759855.899,3352775.56,12.0
9740,5267,760597.899,3352778.56,16.5
8444,5254,759949.899,3352785.06,28.0
8936,5253,760195.899,3352785.56,11.0
9519,5248,760487.399,3352788.06,14.5
9081,5248,760268.399,3352788.06,19.0
8660,5254,760057.899,3352785.06,160.5
9198,5242,760326.899,3352791.06,22.0
8931,5241,760193.399,3352791.56,22.5
8666,5233,760060.899,3352795.56,18.5
8364,5236,759909.899,3352794.06,29.5
8986,5229,760220.899,3352797.56,24.5
9190,5218,760322.899,3352803.06,15.0
8234,5215,759844.899,3352804.56,14.0
8670,5214,760062.899,3352805.06,17.5
8647,5214,760051.399,3352805.06,12.0
8989,5211,760222.399,3352806.56,12.5
9536,5204,760495.899,3352810.06,11.0
9260,5202,760357.899,3352811.06,15.5
10111,5199,760783.399,3352812.56,20.0
10233,5192,760844.399,3352816.06,11.5
9425,5185,760440.399,3352819.56,11.0
9772,5182,760613.899,3352821.06,14.0
8808,5179,760131.899,3352822.56,18.0
8775,5178,760115.399,3352823.06,13.5
10233,5173,760844.399,3352825.56,11.5
8821,5173,760138.399,3352825.56,21.5
8958,5171,760206.899,3352826.56,28.0
8990,5168,760222.899,3352828.06,33.5
9767,5161,760611.399,3352831.56,10.5
9643,5160,760549.399,3352832.06,16.5
9066,5152,760260.899,3352836.06,13.0
10150,5152,760802.899,3352836.06,19.0
8966,5139,760210.899,3352842.56,13.5
8514,5137,759984.899,3352843.56,13.0
8912,5117,760183.899,3352853.56,11.5
8976,5111,760215.899,3352856.56,23.0
8832,5104,760143.899,3352860.06,31.0
9314,5100,760384.899,3352862.06,14.0
9845,5099,760650.399,3352862.56,63.5
8819,5097,760137.399,3352863.56,29.5
8825,5088,760140.399,3352868.06,10.5
9176,5085,760315.899,3352869.56,24.5
9661,5083,760558.399,3352870.56,25.5
8488,5077,759971.899,3352873.56,24.5
9454,5073,760454.899,3352875.56,20.0
8555,5072,760005.399,3352876.06,18.5
8539,5074,759997.399,3352875.06,45.0
8367,5067,759911.399,3352878.56,14.5
8945,5065,760200.399,3352879.56,13.5
9576,5063,760515.899,3352880.56,16.0
8206,5063,759830.899,3352880.56,11.5
9499,5062,760477.399,3352881.06,11.5
8400,5063,759927.899,3352880.56,14.5
9635,5062,760545.399,3352881.06,13.5
10057,5058,760756.399,3352883.06,11.0
8930,5057,760192.899,3352883.56,10.5
9617,5049,760536.399,3352887.56,16.0
9207,5049,760331.399,3352887.56,11.5
8229,5052,759842.399,3352886.06,38.0
9975,5049,760715.399,3352887.56,20.5
9096,5045,760275.899,3352889.56,11.0
9058,5044,760256.899,3352890.06,12.5
9926,5042,760690.899,3352891.06,11.0
9880,5040,760667.899,3352892.06,18.0
9960,5040,760707.899,3352892.06,10.5
9209,5039,760332.399,3352892.56,11.0
8568,5037,760011.899,3352893.56,13.5
9199,5036,760327.399,3352894.06,26.5
9928,5032,760691.899,3352896.06,21.0
9976,5030,760715.899,3352897.06,10.5
8810,5029,760132.899,3352897.56,15.0
9750,5027,760602.899,3352898.56,12.0
9981,5018,760718.399,3352903.06,18.0
10157,5016,760806.399,3352904.06,13.0
9923,5016,760689.399,3352904.06,18.5
9604,5016,760529.899,3352904.06,24.5
9055,5014,760255.399,3352905.06,11.5
9203,5009,760329.399,3352907.56,12.5
8990,5006,760222.899,3352909.06,12.5
9101,5002,760278.399,3352911.06,14.0
8982,5000,760218.899,3352912.06,12.0
8373,4999,759914.399,3352912.56,20.0
8889,4998,760172.399,3352913.06,17.5
8355,4999,759905.399,3352912.56,36.5
8866,4996,760160.899,3352914.06,20.5
8335,4996,759895.399,3352914.06,10.5
8854,4996,760154.899,3352914.06,33.5
9185,4996,760320.399,3352914.06,17.5
8462,4992,759958.899,3352916.06,11.5
8285,4991,759870.399,3352916.56,13.5
9970,4984,760712.899,3352920.06,12.5
8452,4986,759953.899,3352919.06,34.0
9305,4984,760380.399,3352920.06,12.0
8362,4983,759908.899,3352920.56,15.5
10229,4980,760842.399,3352922.06,10.5
8857,4980,760156.399,3352922.06,11.0
8842,4980,760148.899,3352922.06,13.0
9860,4978,760657.899,3352923.06,16.0
9457,4976,760456.399,3352924.06,23.5
9361,4974,760408.399,3352925.06,11.0
8368,4976,759911.899,3352924.06,14.0
8949,4975,760202.399,3352924.56,36.5
9350,4968,760402.899,3352928.06,18.0
8552,4969,760003.899,3352927.56,32.5
8500,4969,759977.899,3352927.56,13.5
9997,4967,760726.399,3352928.56,17.0
9434,4964,760444.899,3352930.06,13.0
9803,4964,760629.399,3352930.06,33.0
8466,4961,759960.899,3352931.56,21.0
9946,4961,760700.899,3352931.56,27.0
8464,4951,759959.899,3352936.56,15.5
9488,4949,760471.899,3352937.56,11.5
8443,4949,759949.399,3352937.56,14.0
8377,4949,759916.399,3352937.56,12.5
8533,4948,759994.399,3352938.06,23.0
8438,4946,759946.899,3352939.06,17.0
8455,4942,759955.399,3352941.06,12.5
9962,4942,760708.899,3352941.06,13.0
8516,4941,759985.899,3352941.56,12.0
8274,4937,759864.899,3352943.56,19.0
